,PDB,Updated
316,5XGH,orig
317,5XGI,orig
318,5XGJ,orig
319,6NCT,orig
320,5SXJ,orig
321,5SXF,orig
322,5SXA,orig
323,5SW8,orig
324,4EY0,orig
325,4EY0,orig
326,4EY0,orig
327,4EY0,orig
328,4FBN,orig
329,4EY0,orig
330,4EY0,orig
331,4EY0,orig
332,4EY0,orig
333,4FBN,orig
334,1RJA,orig
335,2SHP,orig
336,2SHP,orig
337,4DGP,orig
338,4DGX,orig
339,4GWF,orig
340,4GWF,orig
341,4H1O,orig
342,4H34,orig
343,4JEG,orig
344,4NWF,orig
345,4NWF,orig
346,4NWG,orig
347,4NWG,orig
348,4OHD,orig
349,4OHE,orig
350,4OHH,orig
351,4OHI,orig
352,4OHL,orig
353,4OHL,orig
354,5DF6,orig
355,5EHP,orig
356,5EHP,orig
357,5EHR,orig
358,5EHR,orig
359,5I6V,orig
360,5I6V,orig
361,5IBM,orig
362,5IBM,orig
363,5IBS,orig
364,5IBS,orig
365,5X7B,orig
366,5X94,orig
367,5X94,orig
368,5XZR,orig
369,6ATD,orig
370,6ATD,orig
371,6BMR,orig
372,6BMR,orig
373,6BMU,orig
374,6BMU,orig
375,6BMV,orig
376,6BMV,orig
377,6BMW,orig
378,6BMW,orig
379,6BMX,orig
380,6BMX,orig
381,6BMY,orig
382,6BMY,orig
383,6BN5,orig
384,6BN5,orig
385,6CMP,orig
386,6CMP,orig
387,6CMQ,orig
388,6CMQ,orig
389,6CMQ,orig
390,6CMQ,orig
391,6CMR,orig
392,6CMS,orig
393,6CRF,orig
394,6CRF,orig
395,6CRG,orig
396,6CRG,orig
397,6IHZ,orig
398,6IHZ,orig
399,6MD7,orig
400,6MD7,orig
401,6MD9,orig
402,6MD9,orig
403,6MDA,orig
404,6MDA,orig
405,6MDB,orig
406,6MDB,orig
407,6MDC,orig
408,6MDC,orig
409,6MDD,orig
410,6MDD,orig
411,2SHP,orig
412,2SHP,orig
413,4DGP,orig
414,4DGX,orig
415,4GWF,orig
416,4GWF,orig
417,4H1O,orig
418,4H34,orig
419,4NWF,orig
420,4NWF,orig
421,4NWG,orig
422,4NWG,orig
423,4OHD,orig
424,4OHE,orig
425,4OHH,orig
426,4OHI,orig
427,4OHL,orig
428,4OHL,orig
429,5DF6,orig
430,5EHP,orig
431,5EHP,orig
432,5EHR,orig
433,5EHR,orig
434,5I6V,orig
435,5I6V,orig
436,5IBM,orig
437,5IBM,orig
438,5IBS,orig
439,5IBS,orig
440,5X7B,orig
441,5X94,orig
442,5X94,orig
443,5XZR,orig
444,6ATD,orig
445,6ATD,orig
446,6BMR,orig
447,6BMR,orig
448,6BMU,orig
449,6BMU,orig
450,6BMV,orig
451,6BMV,orig
452,6BMW,orig
453,6BMW,orig
454,6BMX,orig
