N-term,terminal
bA,sheet
bAaA,loop
aA,helix
aAbB,loop
bB,sheet
bBbC,turn
bC,sheet
bCbD,turn
bD,sheet
bDbE,turn
bE,sheet
bEbF,turn
bF,sheet
bFaB,loop
aB',helix
aB,helix
C-term,terminal
